node_a,node_b,relation
1,319,stronger
1,1199,stronger
1,1729,stronger
1,2011,stronger
1,2043,stronger
1,2867,stronger
1,2872,stronger
1,3099,stronger
1,3118,stronger
1,3128,stronger
1,4463,stronger
2,1001,equivalent
2,1492,weaker
2,1871,weaker
2,2457,weaker
2,2776,weaker
2,3585,weaker
2,3590,weaker
2,3987,weaker
2,4391,weaker
3,252,stronger
3,1427,incomparable
3,1474,incomparable
3,2132,incomparable
3,2478,incomparable
3,4234,incomparable
4,160,weaker
4,1188,incomparable
4,1503,stronger
4,1705,incomparable
4,2281,weaker
4,2532,stronger
4,2823,stronger
4,3318,weaker
4,3633,incomparable
4,3901,incomparable
4,4136,weaker
4,4198,incomparable
4,4246,incomparable
5,94,weaker
5,249,stronger
5,369,incomparable
5,414,incomparable
5,464,incomparable
5,1227,incomparable
5,1283,stronger
5,2427,stronger
5,2757,equivalent
5,3036,stronger
5,3190,stronger
5,3461,weaker
5,3899,incomparable
5,3905,weaker
5,4159,incomparable
5,4299,incomparable
5,4436,incomparable
6,591,equivalent
6,684,weaker
6,744,weaker
6,2339,equivalent
6,2564,equivalent
6,3160,equivalent
6,4061,weaker
7,27,weaker
7,130,weaker
7,133,equivalent
7,307,weaker
7,950,equivalent
7,2519,weaker
7,2755,weaker
7,4049,weaker
7,4092,weaker
7,4373,weaker
7,4598,weaker
7,4659,weaker
7,4680,weaker
8,732,stronger
8,914,stronger
8,1015,stronger
8,1559,stronger
8,3593,incomparable
8,3709,incomparable
8,3942,incomparable
8,3964,incomparable
9,318,incomparable
9,1072,incomparable
9,1501,stronger
9,1864,incomparable
9,2399,incomparable
9,2721,stronger
9,2960,incomparable
9,3063,incomparable
9,3357,incomparable
9,3466,incomparable
9,3924,incomparable
10,110,equivalent
10,351,incomparable
10,743,stronger
10,1000,stronger
10,1642,incomparable
10,1704,stronger
10,3508,incomparable
10,3511,incomparable
10,4625,incomparable
11,35,stronger
11,546,incomparable
11,848,incomparable
11,1211,stronger
11,1803,stronger
11,1903,stronger
11,2067,incomparable
11,2118,stronger
11,2476,incomparable
11,3060,incomparable
11,3247,incomparable
11,3651,incomparable
11,3674,incomparable
11,4526,incomparable
11,4627,incomparable
12,840,weaker
12,857,equivalent
12,876,stronger
12,1118,stronger
12,1335,stronger
12,1413,stronger
12,1572,stronger
12,1770,stronger
12,2403,stronger
12,2706,incomparable
12,3655,incomparable
12,4687,incomparable
13,422,weaker
13,1685,incomparable
13,3319,weaker
13,4000,incomparable
14,478,stronger
14,1630,incomparable
14,2093,incomparable
14,3101,incomparable
14,4218,incomparable
14,4362,incomparable
14,4576,incomparable
15,667,weaker
15,1117,weaker
15,1950,equivalent
15,2148,weaker
15,2369,equivalent
15,2988,equivalent
15,3463,weaker
15,4271,weaker
15,4321,weaker
16,58,incomparable
16,478,stronger
16,1027,incomparable
16,1093,stronger
16,1913,stronger
16,2698,stronger
16,2814,stronger
16,2934,stronger
16,3308,incomparable
16,3431,incomparable
16,4076,incomparable
16,4265,incomparable
16,4298,incomparable
16,4561,incomparable
17,408,weaker
17,443,weaker
17,949,weaker
17,2058,weaker
17,2277,weaker
17,2379,equivalent
17,2636,equivalent
17,4035,weaker
17,4244,weaker
18,1105,equivalent
18,1416,equivalent
18,1762,equivalent
18,2040,weaker
18,2225,equivalent
18,2299,equivalent
18,2658,weaker
18,3185,weaker
18,3422,weaker
18,3681,weaker
18,4436,weaker
19,114,equivalent
19,145,stronger
19,324,incomparable
19,595,stronger
19,1584,stronger
19,1693,stronger
19,2201,stronger
19,3211,incomparable
19,3221,stronger
19,3716,incomparable
19,4432,incomparable
20,88,equivalent
20,162,weaker
20,384,weaker
20,431,weaker
20,502,equivalent
20,597,equivalent
20,1012,equivalent
20,1171,weaker
20,2486,weaker
20,2663,weaker
20,2687,weaker
20,2766,equivalent
20,2853,weaker
20,3528,weaker
20,3963,weaker
20,4034,weaker
20,4065,weaker
20,4405,weaker
20,4619,weaker
21,666,weaker
21,763,equivalent
21,1266,weaker
21,1803,equivalent
21,2291,weaker
21,2953,equivalent
21,2963,equivalent
21,3366,weaker
21,4167,weaker
21,4683,weaker
22,1183,equivalent
22,1751,equivalent
22,2231,equivalent
22,2270,weaker
22,2609,weaker
22,2936,weaker
22,2992,weaker
22,3876,weaker
22,4016,weaker
22,4514,weaker
22,4576,weaker
22,4633,weaker
23,237,stronger
23,982,stronger
23,1204,stronger
23,1728,incomparable
23,2102,stronger
23,3045,stronger
23,4030,incomparable
23,4540,incomparable
23,4679,incomparable
24,231,incomparable
24,344,incomparable
24,933,stronger
24,973,stronger
24,1462,equivalent
24,1663,weaker
24,2651,incomparable
24,2965,stronger
24,3015,incomparable
24,3584,incomparable
24,3715,incomparable
24,4022,incomparable
25,43,incomparable
25,451,stronger
25,1495,stronger
25,1607,stronger
25,2133,stronger
25,2449,weaker
25,3016,stronger
25,3074,incomparable
25,3547,incomparable
25,3889,incomparable
25,4388,incomparable
25,4530,incomparable
26,370,incomparable
